LCSC,MPN_or_Value,Package,Body_imu,Head_imu,HAT,Total_kit,Stuff,Note
C5267406,LSM6DSV16XTR,LGA-14,1,1,0,2,must,Shared IMU
C529334,STM32G031F8P6,TSSOP-20,1,0,0,1,must,Body only
C176959,AP2210K-3.3TRG1,SOT-23-5,1,0,0,1,must,Body LDO Vin<=13.2V
C3040625,SN74LVC1G125DBVR-TP,SOT-23-5,1,0,1,2,must,OE#; do not swap with 126
C7834,SN74LVC1G126DBVR,SOT-23-5,0,0,1,1,must,HAT only OE active-high
C2827694,PESD5V0S1BA,SOD-323,1,0,0,1,must,DXL DATA TVS
C160259,B3B-EH-A,EH-2.5-3P,1,0,2,3,must,DXL 3P
C160258,B4B-EH-A,EH-2.5-4P,0,0,2,2,must,HAT DXL 4P
C160390,BM04B-SRSS-TB,SH-1.0-4P,1,1,4,6,must,STEMMA/SWD unified
C1525,100nF,0402,3,2,3,8,must,IMU+HAT subset
C307331,100nF,0402,0,0,13,13,must,HAT majority decoupling
C52923,1uF,0402,1,1,15,17,must,Shared
C440198,10uF 50V,0805,1,0,0,1,must,Body VBATT; NOT C1691
C1691,10uF 6.3V,0603,0,0,5,5,must,HAT 3V3 only
C25744,10k,0402,1,0,19,20,must,Head pullups DNP excluded
C25744,10k DNP head,0402,0,2,0,0,dnp,Head R1/R2 if needed
C32346,32.768kHz,3215,1,0,0,0,dnp,Body Y1
C1547,12pF,0402,2,0,0,0,dnp,Body C7/C8
C72488,10uF 63V electrolytic,,0,0,1,1,must,HAT
C84419,22uF 6.3V,0603,0,0,2,2,must,HAT
C15195,10nF,0402,0,0,2,2,must,HAT
C71693,220nF,0402,0,0,2,2,must,HAT
C78606,BAT54W,,0,0,1,1,must,HAT
C19077392,3V3 Zener,,0,0,1,1,must,HAT
C151348,5V1,,0,0,1,1,must,HAT
C76884,FB 600R,0402,0,0,1,1,must,HAT
C88970,FB 120R,0402,0,0,2,2,must,HAT
C2765060,Wago-2,,0,0,3,3,must,HAT
C2685112,HAT 2x20 header,,0,0,1,1,must,HAT
C57254,6.8uH,,0,0,1,1,must,HAT
C7587901,MEMS mic,,0,0,1,1,must,HAT
C727128,MMBT3906,,0,0,1,1,must,HAT
C142518,SI2312,,0,0,1,1,must,HAT
C17168,0R,0402,0,0,11,11,must,HAT
C25765,20k,0402,0,0,1,1,must,HAT
C138054,150R,0402,0,0,1,1,must,HAT
C2906860,100R,0402,0,0,1,1,must,HAT
C913703,100R NTC,0603,0,0,1,1,must,HAT
C86270,PAM8406D,,0,0,1,1,must,HAT
C473393,LM5050-1,,0,0,1,1,must,HAT
C194919,BMI088,,0,0,1,1,must,HAT IMU unused in control loop
C181753,TLV320AIC3104,,0,0,1,1,must,HAT
C347373,XC6206P182MR,,0,0,1,1,must,HAT
C7666,74LVC1G08,,0,0,1,1,must,HAT
C2922535,SIT3088E,,0,0,1,1,must,HAT
C2071056,AP63205,,0,0,1,1,must,HAT
C7425459,12MHz osc,,0,0,1,1,must,HAT
